,Concentration,k_on,k_off,surf_ads_dens,diff_coeff,pore_diam,hyd_rad,Max,corr_grad
264,20.0,0.28024,0.60247,0.51968,0.14709,0.45459,0.48413,0.013623139425663552,2.12868128256036e-06
3,2.0,0.29932,0.51438,0.3993,0.25741,0.55055,0.56876,0.013000122642666544,-3.872420850343005e-07
64,0.02,0.85245,0.13421,0.3796,0.54744,0.63919,0.32829,0.0011609265299353535,-2.576547225825339e-05
270,20.0,0.33463,0.61808,0.44098,0.14181,0.36872,0.52865,0.017262305980979963,1.0974327746610395e-06
84,0.02,0.2402,0.76629,0.35275,0.68739,0.59703,0.58751,0.0008240740740740404,-2.7487815548764168e-05
133,0.4,0.24028,0.59987,0.49296,0.04458,0.44491,0.45215,0.007037260254546873,3.3027145809101e-06
369,40.0,0.2592,0.62924,0.56497,0.09893,0.40068,0.49531,0.011960202472216132,8.835852101124345e-07
23,2.0,0.46124,0.53896,0.46941,0.4547,0.47374,0.57108,0.011335886204045882,1.1882856487094085e-06
312,0.1,0.2665,0.49809,0.44853,0.01926,0.43337,0.47803,0.004917665024023611,1.0298636345224681e-05
5,2.0,0.25513,0.57861,0.42119,0.11907,0.47106,0.56954,0.014596497179933028,1.2848595656818477e-06
288,20.0,0.33086,0.61452,0.54508,0.21153,0.47291,0.39404,0.014053463465912441,2.3328950605284562e-06
112,0.2,0.27335,0.64094,0.7152,0.03915,0.44366,0.50287,0.004009060990725275,3.813685935842841e-06
158,0.0,0.22958,0.64854,0.46991,0.07888,0.38986,0.45986,0.000988061676804086,7.659441647007111e-07
37,0.002,0.30336,0.71848,0.42695,0.04604,0.14682,0.33695,0.0013021788570171601,6.81147502564254e-06
231,4.0,0.48717,0.66751,0.49651,0.29732,0.31246,0.42726,0.012982393739996443,9.258303122281575e-07
123,0.4,0.22702,0.60494,0.5455,0.12692,0.34712,0.38123,0.0070090344588651975,2.2705081475035726e-06
249,10.0,0.28908,0.5881,0.51033,0.14717,0.42503,0.63301,0.013477495757733722,1.5663360565890732e-06
370,40.0,0.2502,0.64996,0.5756,0.0744,0.48818,0.398,0.011803487877499002,1.3587547163467525e-06
292,0.1,0.47878,0.49513,0.55355,0.32954,0.31994,0.23741,0.0030711059081102586,5.186930101765273e-06
184,1.0,0.27652,0.4857,0.41053,0.22902,0.38546,0.50725,0.0068445013197515085,-1.936499640871349e-06
46,0.002,0.73496,0.34701,0.63284,0.7474,0.31782,0.57016,0.001557372490127472,5.465162788325855e-06
9,2.0,0.48372,0.55651,0.36157,0.42702,0.52923,0.62615,0.012652780168703736,-1.52364695666961e-06
385,40.0,0.27224,0.64231,0.51061,0.05301,0.45884,0.42698,0.012546166050039604,2.465899818018356e-06
309,0.1,0.38898,0.67702,0.47733,0.05658,0.41339,0.53501,0.004861111206853396,1.1598743437806552e-05
190,1.0,0.40625,0.4693,0.44797,0.39105,0.61338,0.51453,0.006236837553425203,-2.9367154181458935e-07
2,2.0,0.46198,0.68375,0.50381,0.30122,0.42229,0.71279,0.010918613290806617,3.9882389818605764e-07
150,0.0,0.31947,0.63598,0.3676,0.09485,0.36471,0.42049,0.0026886093724579913,2.4570579838668216e-06
260,20.0,0.27878,0.60528,0.5161,0.15973,0.52277,0.52426,0.014346219827294409,2.086976920870446e-06
323,0.04,0.26896,0.62194,0.47638,0.04348,0.30691,0.41605,0.0019977038161873655,9.753235605864287e-06
351,40.0,0.31164,0.60054,0.5199,0.09668,0.37729,0.45154,0.013715415735933727,1.7178441769919826e-06
266,20.0,0.22727,0.61285,0.53312,0.09603,0.40269,0.47923,0.014262695122656835,1.9078405926533945e-06
114,0.2,0.52346,0.54435,0.65219,0.648,0.21009,0.51849,0.005652649331875382,-1.805737688164633e-05
308,0.1,0.36788,0.65371,0.53588,0.12281,0.34086,0.42949,0.002198039614067059,6.83511754275426e-06
305,0.1,0.39108,0.45261,0.59987,0.05218,0.3575,0.39262,0.0013814728152731167,1.3965722412305658e-05
359,40.0,0.24314,0.61585,0.55667,0.07414,0.53625,0.47898,0.01248740385214523,7.534867137535741e-07
25,2.0,0.49611,0.56687,0.45609,0.47479,0.47017,0.49144,0.009326961296345904,-1.8195235161663144e-06
159,0.0,0.21524,0.62169,0.48565,0.05244,0.32637,0.44775,0.0007875393769688485,2.3288733891961527e-06
265,20.0,0.32584,0.62916,0.47654,0.09498,0.36181,0.60233,0.012404871287474053,2.3264884468352265e-06
342,0.04,0.35078,0.62164,0.55704,0.02887,0.38731,0.51382,0.001508300665957682,2.1266576124841054e-05
54,0.002,0.33513,0.60547,0.55763,0.02591,0.73601,0.33817,0.0007100357714223757,3.5024876359625264e-06
107,0.2,0.27315,0.6342,0.50849,0.1002,0.41372,0.50178,0.004798378417162947,3.45762341521428e-06
49,0.002,0.44319,0.52613,0.45512,0.56032,0.54608,0.46557,0.0011271190292232547,7.879260469990855e-06
345,0.04,0.63738,0.27005,0.85088,0.03982,0.16745,0.99593,0.0003409523595360512,4.140136848900135e-06
361,40.0,0.26779,0.60826,0.53281,0.08712,0.4007,0.65334,0.013290447869887059,-4.422144630467958e-07
131,0.4,0.45705,0.6637,0.44948,0.2169,0.47262,0.3559,0.006452089313900111,2.700768953492965e-06
20,2.0,0.42818,0.5188,0.45927,0.58322,0.57233,0.56408,0.010155738552182719,-3.402353316684454e-07
34,0.002,0.27357,0.0277,0.92859,0.07022,0.80675,0.99751,0.00076718955900139,-6.27167413046047e-06
53,0.002,0.55715,0.80813,0.61669,0.73555,0.10589,0.65716,0.0016938854417910662,4.183231661050028e-06
320,0.04,0.41464,0.57933,0.54902,0.04959,0.41115,0.43269,0.001216602135456447,1.560983323750616e-05
383,40.0,0.28433,0.63342,0.52541,0.05525,0.43367,0.47884,0.011943618165872569,2.8526156783723806e-06
69,0.02,0.3105,0.63044,0.49436,0.19547,0.22358,0.33635,0.0021510935494889324,-7.761339730536227e-06
61,0.02,0.4858,0.48519,0.48602,0.36093,0.61412,0.67181,0.0004807603409699255,-1.6618995988875436e-05
151,0.0,0.27273,0.53968,0.38642,0.06725,0.33788,0.40564,0.0014294776152739685,4.839278064979935e-06
257,10.0,0.39788,0.63456,0.56265,0.24023,0.28226,0.63213,0.01576207820180521,2.840418951684709e-06
192,1.0,0.28067,0.65697,0.56654,0.12187,0.32341,0.4755,0.006766191589366145,1.1415076652739965e-07
117,0.4,0.24036,0.60379,0.54387,0.16177,0.46342,0.46779,0.005796549284275972,1.4612619812922977e-06
243,10.0,0.42472,0.56672,0.50557,0.2855,0.38874,0.37085,0.013428441546888074,2.605485039038003e-06
227,4.0,0.22618,0.5476,0.56622,0.24745,0.23872,0.20597,0.012073712304951516,1.533001251454367e-06
139,0.4,0.29598,0.54947,0.43039,0.18581,0.39919,0.40287,0.005526547164055781,3.1935696408449463e-07
261,20.0,0.38416,0.64419,0.46681,0.12892,0.58757,0.60455,0.013773651110508846,2.079398941846404e-06
134,0.4,0.24131,0.6189,0.53684,0.11445,0.41394,0.40485,0.005860747926332132,2.0263589878162016e-06
338,0.04,0.27475,0.6688,0.45998,0.03801,0.36301,0.48452,0.0016575807770242384,4.298064954430706e-06
137,0.4,0.27282,0.6572,0.51526,0.05683,0.2844,0.56237,0.006495369042441862,1.301204644804976e-06
92,0.2,0.27568,0.56893,0.47423,0.11036,0.40692,0.5222,0.004910506239536016,5.1278151645069905e-06
166,0.0,0.83284,0.03001,0.80133,0.89752,0.54168,0.60855,0.0005082145959231949,5.868920726256902e-06
332,0.04,0.3094,0.69758,0.50992,0.02317,0.27279,0.48497,0.001711863485680093,8.846090453206445e-06
157,0.0,0.29635,0.5922,0.54217,0.07691,0.46321,0.50215,0.0020296215030170713,6.245956881648837e-06
21,2.0,0.35629,0.60518,0.44895,0.22016,0.15788,0.26056,0.010855773297617369,-1.6674756293144268e-06
173,0.0,0.76359,0.06031,0.70502,0.82276,0.48399,0.50439,0.000391076187098223,-1.952820117049332e-06
230,4.0,0.33772,0.61829,0.53465,0.21065,0.37567,0.47185,0.012185195616279386,2.690240121448642e-06
272,20.0,0.30661,0.56041,0.45245,0.13759,0.41684,0.47796,0.01349240666060742,1.9691098672409633e-06
