,Concentration,k_on,k_off,surf_ads_dens,diff_coeff,pore_diam,hyd_rad,Max,corr_grad
72,0.02,0.2632,0.55635,0.50448,0.02711,0.47563,0.47019,0.002964702305034957,-2.513650958537607e-06
291,0.1,0.20195,0.52047,0.4584,0.03546,0.42192,0.44428,0.003415793643806609,6.472008737275041e-06
1,2.0,0.22865,0.58033,0.51876,0.16591,0.3752,0.46959,0.011489212418873882,-3.0899584705875994e-07
24,2.0,0.39522,0.55948,0.41318,0.34671,0.72421,0.67985,0.009060164101381532,-3.066085135940663e-07
325,0.04,0.32148,0.64429,0.5129,0.05519,0.36009,0.28565,0.0013357115032961208,1.4293100927807009e-05
203,1.0,0.28176,0.64387,0.59865,0.20175,0.21398,0.25404,0.007590532157992204,-8.201622863909076e-07
213,4.0,0.25657,0.54578,0.52015,0.21207,0.35042,0.44946,0.010879544603723422,1.1992582408243581e-06
358,40.0,0.23171,0.55843,0.51848,0.05908,0.36456,0.51242,0.012187839652749147,6.570563018970379e-08
149,0.0,0.23092,0.77151,0.49867,0.0997,0.36024,0.44591,0.0010136388730508474,2.627829171297573e-06
365,40.0,0.31074,0.6569,0.55548,0.07511,0.38771,0.40943,0.013905399083859387,1.5327167582555784e-06
116,0.2,0.25178,0.57797,0.46747,0.21466,0.60066,0.64708,0.004819255483361519,4.297545075740598e-07
126,0.4,0.38958,0.69332,0.50396,0.16982,0.37253,0.46737,0.0064932120541585005,2.732811532121977e-07
120,0.4,0.3198,0.64463,0.40112,0.03664,0.38507,0.42138,0.007736040795026962,-8.652998369143301e-08
125,0.4,0.35161,0.68999,0.51224,0.18,0.42149,0.4403,0.006754281732169533,1.6403480280999183e-06
302,0.1,0.20248,0.60082,0.55869,0.0456,0.47777,0.44145,0.0028163681846719037,5.5691597229870265e-06
101,0.2,0.25334,0.56532,0.48825,0.09753,0.4157,0.46059,0.003981449858896632,3.979785638005952e-06
132,0.4,0.40398,0.63798,0.50928,0.34847,0.54025,0.39936,0.006585766306192372,4.12739473154432e-06
41,0.002,0.24242,0.66015,0.46148,0.00734,0.38857,0.48151,0.000675998449710222,9.03192758940043e-06
210,4.0,0.31117,0.57917,0.48463,0.18317,0.3735,0.6289,0.012904514256571986,1.3735132749513166e-06
258,10.0,0.40807,0.59977,0.43865,0.12894,0.34062,0.46596,0.014112308970248037,1.7632260253205147e-06
306,0.1,0.52044,0.43322,0.55035,0.38023,0.42377,0.45382,0.0034565593308906457,5.617649478602163e-06
155,0.0,0.67564,0.34686,0.67921,0.37987,0.47694,0.51106,0.0010377410016931233,1.3382349420641039e-05
307,0.1,0.33491,0.63286,0.45154,0.11739,0.46117,0.4861,0.0022356501984661667,4.8945464009632764e-06
83,0.02,0.24254,0.71148,0.30418,0.99514,0.27303,0.63909,0.0022422771158014665,-5.5848294035733754e-05
68,0.02,0.36143,0.38253,0.48157,0.28367,0.39374,0.59561,0.0018833897461866447,-1.0155761687775846e-05
379,40.0,0.30361,0.60124,0.49575,0.0989,0.43128,0.55896,0.012559409146863246,2.058382144721207e-06
311,0.1,0.20952,0.63848,0.49942,0.09319,0.41763,0.48816,0.005709467127377439,3.011147542254325e-06
352,40.0,0.2431,0.55803,0.52,0.09311,0.20264,0.34786,0.01304545728191851,6.867704401323862e-07
220,4.0,0.33869,0.65384,0.53723,0.13679,0.35251,0.40873,0.012178825383350906,3.1930116434240236e-06
355,40.0,0.3159,0.64891,0.549,0.12632,0.38942,0.52233,0.012585925996447542,5.971209374445854e-07
194,1.0,0.35112,0.61985,0.50984,0.23217,0.19452,0.22147,0.007505093724099128,-1.2753877495751767e-06
384,40.0,0.31926,0.6539,0.55259,0.09157,0.4009,0.42413,0.01159900695988501,2.884439262940594e-06
141,0.4,0.40246,0.54637,0.3235,0.30062,0.30819,0.49991,0.006795642685476026,2.284932381853417e-06
91,0.2,0.61868,0.49386,0.33817,0.44338,0.41601,0.27631,0.0034411246512993684,-3.3736147797914516e-06
252,10.0,0.22953,0.57802,0.58687,0.19242,0.52882,0.32794,0.013968673467228345,2.4715377738279464e-06
81,0.02,0.20745,0.96001,0.41026,0.06755,0.25331,0.36452,0.00044394705931327785,-3.266373089619433e-05
205,1.0,0.54575,0.4862,0.49149,0.46718,0.50334,0.47364,0.008472218004219509,-1.8365067764345924e-06
140,0.4,0.24731,0.60719,0.49081,0.06273,0.32876,0.4891,0.006487761722205872,-8.660494133275169e-07
70,0.02,0.29671,0.61899,0.54467,0.07528,0.36513,0.44555,0.003100596131806398,7.964150199147665e-06
29,2.0,0.43276,0.51988,0.48366,0.48639,0.47732,0.46894,0.013908036275309822,-1.3168079894486337e-06
341,0.04,0.2376,0.60401,0.49652,0.02892,0.40552,0.3941,0.002843375955595631,8.130470856967906e-06
135,0.4,0.26161,0.62632,0.47256,0.11018,0.36495,0.45707,0.008963489737388697,-2.3735195681720934e-06
130,0.4,0.33883,0.6639,0.48796,0.13766,0.46735,0.4829,0.006183729680102318,3.409745416993947e-07
223,4.0,0.33634,0.61237,0.50501,0.2054,0.41787,0.46332,0.012614150963182438,2.2454590041364382e-06
154,0.0,0.86517,0.35312,0.88973,0.13908,0.39483,0.44945,0.000701238855311171,6.3583683840243205e-06
199,1.0,0.24358,0.5618,0.46461,0.16489,0.40908,0.51999,0.009963685879299649,-7.816093463566866e-07
52,0.002,0.35575,0.41275,0.47872,0.18844,0.38868,0.45004,0.002193121573247608,3.35004787389929e-07
163,0.0,0.26822,0.45443,0.39157,0.84186,0.35107,0.54974,0.0006935874685857939,-3.4057134003249855e-06
35,0.002,0.30201,0.52023,0.47824,0.0658,0.4122,0.46278,0.0025697912472910115,1.0974705994069975e-05
277,20.0,0.27336,0.67057,0.55302,0.1094,0.5118,0.54955,0.01346166751236104,1.8449951097779221e-06
191,1.0,0.51658,0.47234,0.25587,0.32568,0.53183,0.56393,0.006468988521606089,-1.6957184530978599e-06
31,0.002,0.62281,0.00243,0.75523,0.00537,0.15351,0.12648,0.0005398332921597408,-1.779983178822846e-06
197,1.0,0.36409,0.52409,0.41917,0.33005,0.6321,0.67124,0.00731176170134324,-1.5292362524374028e-06
284,20.0,0.19669,0.49133,0.49926,0.16851,0.40268,0.50672,0.013192299939259355,2.4325251801581494e-06
303,0.1,0.282,0.65183,0.52345,0.08179,0.40148,0.49069,0.004120073243145167,1.9156922717524665e-06
208,4.0,0.27036,0.5925,0.58439,0.22826,0.49691,0.46071,0.010264520643949553,7.413088066765593e-07
146,0.4,0.18982,0.71641,0.62841,0.00363,0.29649,0.33037,0.0064335788446179785,2.2976601219125552e-07
95,0.2,0.58841,0.44503,0.54557,0.41653,0.69547,0.40345,0.0033783783783783786,1.0821276857210456e-06
121,0.4,0.2932,0.6371,0.50486,0.0223,0.31134,0.50784,0.006355650501272081,1.047842878042132e-06
373,40.0,0.34863,0.61891,0.51516,0.08585,0.45276,0.40574,0.012490862276663251,7.748278002621811e-07
294,0.1,0.33105,0.68679,0.54952,0.14677,0.4375,0.5218,0.0028489396215332736,4.203520118671829e-06
367,40.0,0.31119,0.59025,0.52773,0.12874,0.35537,0.47723,0.011681372767535553,1.0452658950573935e-06
187,1.0,0.2503,0.57864,0.42723,0.12618,0.34307,0.43695,0.008261103759609159,1.7577244446661743e-06
88,0.02,0.08412,0.73527,0.09481,0.92201,0.41334,0.50757,0.00021977820715924178,-8.164422251922957e-05
80,0.02,0.41357,0.61566,0.45213,0.60861,0.48515,0.47038,0.0022087451332734693,-1.1182613987456002e-06
11,2.0,0.33103,0.44988,0.31157,0.30797,0.43041,0.62994,0.01117059048451402,1.2211803996912916e-08
